situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Indeferimento da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIndeferimento da petição inicial
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Inépcia da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOInépcia da petição inicial
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Necessidade de Perícia,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITONecessidade de Perícia
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Perda do objeto,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOPerda do objeto
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,"Perempção, litispendência ou coisa julgada",Extinção sem julgamento do mérito,"EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOPerempção, litispendência ou coisa julgada"
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Prescrição,Decisão favorável à aérea (improcedência),EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOPrescrição
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Reclamação pré processual infrutífera,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOReclamação pré processual infrutífera
Extinto,Extinção sem resolução do mérito,Extinção sem julgamento do mérito,ExtintoExtinção sem resolução do mérito
Extinto Sem Julgamento Do Merito,Extinto Sem Julgamento Do Merito,Extinção sem julgamento do mérito,Extinto Sem Julgamento Do MeritoExtinto Sem Julgamento Do Merito
Favourable decision,,Decisão favorável à aérea (improcedência),Favourable decision
Impossibilidade de Fornecimento,Outros,Não informado,Impossibilidade de FornecimentoOutros
IMPROCEDÊNCIA,,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIA
IMPROCEDÊNCIA,Ausência de interesse processual,Extinção sem julgamento do mérito,IMPROCEDÊNCIAAusência de interesse processual
IMPROCEDÊNCIA,Ausência de pressupostos processuais / condições da ação,Extinção sem julgamento do mérito,IMPROCEDÊNCIAAusência de pressupostos processuais / condições da ação
IMPROCEDÊNCIA,Condenação,Condenação,IMPROCEDÊNCIACondenação
IMPROCEDÊNCIA,Condenação afastada em acórdão,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIACondenação afastada em acórdão
IMPROCEDÊNCIA,Condenação fixada em acórdão (improcedência reformada),Condenação,IMPROCEDÊNCIACondenação fixada em acórdão (improcedência reformada)
IMPROCEDÊNCIA,Condenação reduzida em acordão,Condenação,IMPROCEDÊNCIACondenação reduzida em acordão
IMPROCEDÊNCIA,Condenação revertida em improcedência,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIACondenação revertida em improcedência
IMPROCEDÊNCIA,Desistência do autor,Extinção sem julgamento do mérito,IMPROCEDÊNCIADesistência do autor
IMPROCEDÊNCIA,Improcedência mantida em acórdão,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIAImprocedência mantida em acórdão
IMPROCEDÊNCIA,Improcedente,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIAImprocedente
IMPROCEDÊNCIA,Inépcia da petição inicial,Extinção sem julgamento do mérito,IMPROCEDÊNCIAInépcia da petição inicial
IMPROCEDÊNCIA,Parcial,Condenação,IMPROCEDÊNCIAParcial
IMPROCEDÊNCIA,Prescrição,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIAPrescrição
IMPROCEDÊNCIA,Recurso não conhecido,Condenação,IMPROCEDÊNCIARecurso não conhecido
IMPROCEDÊNCIA,Total,Decisão favorável à aérea (improcedência),IMPROCEDÊNCIATotal
Improcedência,Vitória,Decisão favorável à aérea (improcedência),ImprocedênciaVitória
Improcedente,Improcedente,Decisão favorável à aérea (improcedência),ImprocedenteImprocedente
Investigação,,Não informado,Investigação
Investigação,Sentença parcialmente procedente.,Condenação,InvestigaçãoSentença parcialmente procedente.
Investigação,Sentença procedente.,Condenação,InvestigaçãoSentença procedente.
Liquidação,,Não informado,Liquidação
Obrigação de Fazer,Acordo,Acordo,Obrigação de FazerAcordo
Obrigação de Fazer,Condenação,Condenação,Obrigação de FazerCondenação
Obrigação de Fazer mais Dano,Condenação,Condenação,Obrigação de Fazer mais DanoCondenação
Pagamento Integral da Dívida,Acordo,Acordo,Pagamento Integral da DívidaAcordo
Pagamento Parcelado / Quitado,Acordo,Acordo,Pagamento Parcelado / QuitadoAcordo
Perda,Perda,Condenação,PerdaPerda
Pretensão Já Atendida Pela TAM,Vitória,Decisão favorável à aérea (improcedência),Pretensão Já Atendida Pela TAMVitória
Procedência Parcial,Procedência Parcial,Condenação,Procedência ParcialProcedência Parcial
Procedente,Procedente,Condenação,ProcedenteProcedente
Recebido na migração e TAM não consta no pólo passivo,Outros,Não informado,Recebido na migração e TAM não consta no pólo passivoOutros
Recebido na Migração já Arquivado,Outros,Não informado,Recebido na Migração já ArquivadoOutros
RECLAMAÇÃO PRÉ PROCESSUAL,,Não informado,RECLAMAÇÃO PRÉ PROCESSUAL
RECLAMAÇÃO PRÉ PROCESSUAL,Abandono de causa pelo Autor,Extinção sem julgamento do mérito,RECLAMAÇÃO PRÉ PROCESSUALAbandono de causa pelo Autor
Recursal,,Não informado,Recursal
Recursal,Dado parcial provimento ao recurso.,Condenação,RecursalDado parcial provimento ao recurso.
Recursal,Dado provimento ao recurso,Não informado,RecursalDado provimento ao recurso
Recursal,Negado provimento ao recurso,Condenação,RecursalNegado provimento ao recurso
Recursal,Negado seguimento ao recurso.,Condenação,RecursalNegado seguimento ao recurso.
Recursal,Sentença de Extinção da Punibilidade,Decisão favorável à aérea (improcedência),RecursalSentença de Extinção da Punibilidade
Recursal,Sentença improcedente.,Decisão favorável à aérea (improcedência),RecursalSentença improcedente.
Recursal,Sentença parcialmente procedente.,Condenação,RecursalSentença parcialmente procedente.
Recursal,Sentença procedente.,Condenação,RecursalSentença procedente.
Restabelecimento de Pontos,Obrigação de fazer,Condenação,Restabelecimento de PontosObrigação de fazer
Restituição de Valores no Cartão de Crédito,Obrigação de fazer,Condenação,Restituição de Valores no Cartão de CréditoObrigação de fazer
Retificação da Categoria de Participante,Obrigação de fazer,Condenação,Retificação da Categoria de ParticipanteObrigação de fazer
Retificação de Nome no Bilhete,Obrigação de fazer,Condenação,Retificação de Nome no BilheteObrigação de fazer
Sem decisão proferida,,Não informado,Sem decisão proferida
SENTENÇA - PROCESSO EM ANDAMENTO,,Não informado,SENTENÇA - PROCESSO EM ANDAMENTO
Settlement,,Acordo,Settlement
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Condenação,
,,Outros,
,,Acordo,
,,Condenação,
,,Não informado,
,,Condenação,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Outros,
,,Não informado,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Acordo,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Condenação,
,,Outros,
,,Condenação,
,,Outros,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Condenação,
,,Não informado,
,,Acordo,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Acordo,
,,Não informado,
,,Não informado,
,,Condenação,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Outros,
,,Condenação,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Outros,
,,Acordo,
,,Outros,
,,Condenação,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Outros,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Acordo,
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Condenação,
,,Não informado,
,,Outros,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Condenação,
,,Outros,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Acordo,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Condenação,
,,Outros,
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Não informado,
,,Não informado,
,,Acordo,
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Outros,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Outros,
,,Acordo,
,,Não informado,
,,Outros,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Não informado,
,,Condenação,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Outros,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Outros,
,,Acordo,
,,Não informado,
,,Outros,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Extinção sem julgamento do mérito,
,,Condenação,
,,Não informado,
,,Condenação,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Acordo,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Extinção sem julgamento do mérito,
,,Não informado,
,,Não informado,
,,Não informado,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Condenação,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Condenação,
,,Não informado,
,,Condenação,
,,Outros,
,,Decisão favorável à aérea (improcedência),
,,Outros,
,,Acordo,
,,Condenação,
,,Outros,
,,Não informado,
,,Outros,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Extinção sem julgamento do mérito,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Condenação,
,,Não informado,
,,Não informado,
,,Decisão favorável à aérea (improcedência),
,,Acordo,
,,Não informado,
,,Não informado,
,,Condenação,
,,Decisão favorável à aérea (improcedência),
,,Decisão favorável à aérea (improcedência),
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,
,,Não informado,ImprocedenteDecisão favorável à aérea (improcedência)
,,Não informado,AcordoArquivamento
,,Não informado,ExecuçãoParcialmente procedente
,,Não informado,Decisão favorávelImprocedente
,,Não informado,ExecuçãoDecisão favorável à aérea (improcedência)
,,Não informado,ImprocedenteParcialmente procedente
,,Não informado,Aguardando julgamento do recursoDecisão favorável à aérea (improcedência)
,,Não informado,CondenaçãoImprocedente
,,Não informado,ExecuçãoHomologação de acordo
,,Não informado,Aguardando julgamento do recursoParcialmente procedente
,,Não informado,Decisão favorável à companhia aéreaHomologação de acordo
,,Não informado,Extinção sem resolução do méritoExtinção sem resolução do mérito
,,Não informado,Aguardando julgamento do recurso
,,Não informado,Improcedente
,,Não informado,condenaçãoParcialmente procedente
,,Não informado,Homologação de acordo
,,Não informado,CondenaçãoDecisão favorável à aérea (improcedência)
,,Não informado,ImprocedenteArquivamento
,,Não informado,Aguardando julgamento do recursoHomologação de acordo
,,Não informado,Aguardando sentençaAguardando sentença
,,Não informado,AcordoParcialmente procedente
,,Não informado,ArquivamentoArquivamento
